participantID,EMA_count,EMA_completed_count,EMA_partial_count,EMA_completed_percent
afflictedrevenueepilepsy,364,359,1,98.62637362637363
anagramprobingscrooge,365,364,1,99.72602739726028
animateshowerclothes,324,307,1,94.75308641975309
anthillfastinglucrative,356,346,0,97.19101123595506
arrivejanitoruniformly,350,239,7,68.28571428571428
atlanticchefhatchet,369,246,24,66.66666666666666
attirecrabbinghumbling,362,312,5,86.1878453038674
backfirebankedprudishly,357,314,2,87.95518207282913
badlandwiltmuseum,322,250,0,77.63975155279503
bannisterhardwiredladle,356,225,18,63.20224719101124
bartenderradiatorapplied,272,164,2,60.29411764705882
beavertomatoupscale,356,338,3,94.9438202247191
bondingcoasterdirtiness,355,306,0,86.19718309859155
brinkaminounframed,278,222,2,79.85611510791367
catsupexploitmocker,365,308,2,84.38356164383562
caucuscattlemockup,339,288,9,84.95575221238938
certifiedembargobartender,367,353,1,96.18528610354224
chewingslouchingfailing,365,354,0,96.98630136986301
childhoodmovingmagnify,352,341,0,96.875
cohesiveprotractfavored,366,343,0,93.71584699453553
collisionmolarbreeze,343,334,0,97.37609329446065
congestedculpritsaved,354,318,8,89.83050847457628
congestedtapssneer,347,310,3,89.33717579250721
congresscyclistdefender,350,306,5,87.42857142857143
copybrickcreative,348,332,3,95.40229885057471
coynessculminatebarista,0,0,0,0.0
craftworkattendeeensnare,382,285,2,74.60732984293193
crestedserpentspongy,362,353,0,97.51381215469614
debatableuneasyeveryone,356,334,1,93.82022471910112
defilinganywayimmovable,366,256,2,69.94535519125684
diagramuncoupleoutput,348,344,0,98.85057471264368
dimnesscranialunheard,368,361,0,98.09782608695652
dissuadecelestialrelic,345,339,0,98.26086956521739
distresslitigatemassager,360,350,0,97.22222222222221
doorpostthesisjubilance,342,283,4,82.7485380116959
earflapmaraudingappointee,351,190,7,54.131054131054135
endlessroamerreconfirm,371,190,6,51.21293800539084
enjoyergoofinessgrudge,354,309,1,87.28813559322035
equallustinessuntil,360,326,9,90.55555555555556
erasuresafeguardravishing,357,157,0,43.977591036414566
espionagechihuahuagraffiti,358,350,0,97.76536312849163
evasiongalorebath,336,210,4,62.5
exploreparadoxmangle,367,331,0,90.19073569482289
facelesschimpacclaim,335,297,2,88.65671641791046
faucetsquealingcatapult,364,363,0,99.72527472527473
feistydaycarelung,382,286,8,74.86910994764398
fracturerepurposealgebra,292,276,1,94.52054794520548
freightbrisklypopulace,355,260,2,73.23943661971832
gammahuffrigging,353,329,1,93.20113314447592
genderradiantlycharging,356,353,0,99.15730337078652
gentlykittenthaw,352,349,0,99.14772727272727
grapethumpingtwenty,342,340,0,99.41520467836257
groinunratedbattery,359,353,0,98.32869080779945
grudgehandballcampfire,365,357,1,97.80821917808218
grumblystiffnessuntainted,364,338,0,92.85714285714286
handcufffootloosecabful,355,284,18,80.0
hardyneatnessclobber,364,314,11,86.26373626373626
headphoneoutsmartunfailing,361,301,8,83.37950138504155
headwearskirmishantidote,366,285,0,77.8688524590164
housewagontrivial,357,302,3,84.593837535014
idealistsustainerexpansive,361,360,0,99.7229916897507
kangaroozodiaccrudeness,298,214,2,71.81208053691275
kinsmanlargewand,360,350,1,97.22222222222221
landlordastrologycopy,354,255,5,72.03389830508475
lardcapablemud,364,335,3,92.03296703296702
larkshiningaffected,365,357,1,97.80821917808218
lyricallymalformedrigor,367,348,2,94.82288828337875
massagerresidencyenlarging,291,275,1,94.50171821305841
moisturedecodelyricist,362,326,1,90.05524861878453
moocherchemicalsbanker,354,326,0,92.09039548022598
moodinessgrandmasynopsis,348,323,1,92.81609195402298
mountainseclusionchaffing,362,348,0,96.13259668508287
mumblingfoundersubsonic,339,268,6,79.05604719764013
mysidvattedlexica,329,230,30,69.90881458966565
neutergoldfishsworn,299,249,1,83.27759197324414
nicknameoverpaycolt,387,316,5,81.65374677002583
nucleusbackwatercanning,330,308,0,93.33333333333333
ogleuncladthermos,359,318,3,88.57938718662952
orbsquackysyllabuses,354,347,0,98.0225988700565
pandemicerraticobscure,363,348,2,95.86776859504133
panoramahandcraftcomma,350,342,1,97.71428571428571
parakeettrappeddetector,363,339,1,93.38842975206612
peddlingventricleexert,368,344,0,93.47826086956522
penpalsandbanklifting,350,318,0,90.85714285714286
persevereriseswoop,360,355,0,98.61111111111111
pettytransfixedsolubly,338,235,4,69.5266272189349
predatordebatingpredator,361,309,0,85.59556786703601
pretendedconstrainfraying,356,348,2,97.75280898876404
punctuatelandingdeferred,362,349,1,96.40883977900553
quizzicalpremiumfrayed,357,223,2,62.46498599439776
rangerabrasivedislike,344,316,1,91.86046511627907
rangerchildlikequantum,361,361,0,100.0
rebuttalskateroyster,367,337,8,91.82561307901908
reconfirmcremeplethora,351,338,2,96.29629629629629
reliablydetaildebate,356,343,4,96.34831460674157
remoldexcludingaffair	,0,0,0,0.0
resalepartlyfrigidity,351,322,1,91.73789173789174
residentselfgutter,374,298,12,79.67914438502673
resupplyclappingyahoo,368,353,0,95.92391304347827
retrialgraftedsturdy,281,231,5,82.20640569395017
retrievergeckoabroad,319,268,0,84.01253918495298
rippingpeprepose,358,294,12,82.12290502793296
routinesurenessglitzy,339,322,2,94.98525073746312
sadlyskilledlustfully,364,299,5,82.14285714285714
scarecrowstackcharred,365,282,5,77.26027397260275
sculpturecrunchingerasure,353,345,0,97.73371104815864
sharpnessnextpouch,366,349,0,95.3551912568306
showplacefacingsanta,371,362,0,97.57412398921834
slapstickporcupineslacks,369,356,0,96.4769647696477
spearmanshushfreebie,365,361,0,98.9041095890411
spinstersubatomiccoyness,362,350,7,96.68508287292818
spookysubtotalunreached,328,291,1,88.71951219512195
starlesspayingoutlet,353,338,2,95.75070821529745
sublevelcurlyhanky,366,227,8,62.02185792349727
subtitlegrievousbazooka,353,345,0,97.73371104815864
superiorpassablecosmic,349,305,9,87.39255014326648
synapseevaluatechevron,361,350,2,96.95290858725761
tapestryrivetingverify,361,358,1,99.16897506925207
tattlingsupperlegroom,357,340,1,95.23809523809523
thusflattenengraver,341,259,13,75.95307917888563
tipoffstarchpartly,351,350,0,99.71509971509973
trombonetroweldecree,388,323,6,83.24742268041237
unbundleoverbitesixtyfold,355,352,0,99.15492957746478
unelectedscrubbeddeflected,349,319,2,91.40401146131805
unfittedfactoiddivisive,296,257,0,86.82432432432432
unfreezefrayingknoll,347,332,1,95.67723342939482
unmixableresultfidgety,338,322,4,95.26627218934911
unraveledlitterpowerably,354,313,11,88.4180790960452
unveileddismountearwig,357,351,0,98.31932773109243
urchinvariablytrend,363,342,5,94.21487603305785
vagabondnumerousflatterer,343,336,1,97.95918367346938
washboardceramicsenticing,376,369,1,98.13829787234043
whoeverrelightspookily,358,353,1,98.60335195530726
wikipediaetchingcrystal,364,349,5,95.87912087912088
wrigglecatalyststerility,355,318,1,89.5774647887324
yearlingfiberspotty,351,335,1,95.44159544159544
